timestep,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
limit_DE_Biomass,27335509.192513533,29435376.027617842,31477721.025825713,33440229.223003365,35305086.22890001,37059371.40439037,38695025.40606028,40208472.87682045,41600007.99169117,42873053.64384896,44033390.57775037,45088428.848442756,46046567.851837836,46916667.82684112,47707637.713169605,48428132.129870854,49086343.36473516,49689871.425469324,50245655.10731439,50759948.562032744,51238330.16741083,51685733.02649772,52106488.83077196,52504378.92683067,52882688.16804312,53244258.51304116,53591540.38881288,53926640.61867376,54251366.277789965,54567264.23022278,54875656.36352217,55177670.70385112,55474268.69329246,55766268.961869605,56054367.94522606,56339157.696033515,56621141.22106299,56900745.652088635,57178333.531248584,57454212.4627539,57728643.35455569,58001847.44677048,58274012.298890874,58545296.88532352,58815835.9286818,59085743.58243981,59355116.5589032,59624036.78479665,59892573.65490547,60160785.94396203,60428723.42813299,60696428.25987566,60963936.133431435,61231277.27265582,61498477.268137835
limit_DE_Offshore,13787874.337796077,16376693.266686395,19364620.683446575,22780985.609584525,26645902.92585746,30966449.221534293,35733003.0005451,40916352.7579877,46466245.83480637,52311969.18211489,58365286.67479709,64525634.69019976,70686998.84323412,76745506.27878095,82606602.74806702,88190799.56686608,93437327.0358063,98305493.12376846,102773974.47003965,106838555.77003919,110508946.6306971,113805266.7972226,116754659.06130587,119388324.95212904,121739126.38603215,123839780.30434261,125721598.60194357,127413687.08418782,128942505.06579752,130331691.6378778,131602077.58490005,132771817.90852523,133856595.5911954,134869860.9329485,135823081.9143603,136725989.58712244,137586808.7830492,138412468.88042867,139208792.3912059,139980661.10020506,140732160.69700852,141466705.52339473,142187145.38669658,142895856.4866417,143594818.45790038,144285679.40282866,144969810.6189635,145648352.53973675,146322253.22079125,146992300.52777192,147659149.0195584,148323342.37584966,148985332.09021083,149645493.03847823,150304136.4365895
limit_DE_Onshore,49336976.415504925,55648553.810379565,62438249.60115212,69666285.5631202,77276745.51728603,85198713.97920819,93348682.81533763,101634105.5478959,109957803.2969145,118222788.1823871,126337002.99756224,134217496.59495799,141793656.32610577,149009275.34879306,155823406.13185522,162210105.76826283,168157288.46397045,173664955.81282315,178743080.18467855,183409383.7779974,187687201.8616236,191603558.25018087,195187524.89853632,198468891.7954287,201477140.24756646,204240691.59850985,206786392.35692436,209139193.03644848,211321979.26330242,213355517.84166858,215258485.95669627,217047557.50850803,218737526.0772817,220341448.88599768,221870800.22256,223335626.10109177,224744694.5479263,226105637.88822547,227425084.89012128,228708781.6960726,229961701.22538838,231188141.24335602,232391811.622761,233575911.5215949,234743197.30431423,235896042.07179457,237036487.6586105,238166289.9211868,239286958.08799896,240399788.88143304,241505896.0556032,242606235.92912304,243701629.4289246,244792781.10211846,245880295.49844456
limit_DE_PV,21945537.1825559,25309720.78909833,29073526.364349388,33250178.584965747,37843525.85050185,42845958.671382524,48236742.887657695,53981058.971842654,60030011.384065025,66321785.12407279,72783984.34808417,79337012.12473975,85898178.02999179,92386093.37354416,98724865.67582287,104847647.01271334,110699212.11450249,116237408.58124396,121433492.24088204,126271499.99825135,130746899.6117914,134864786.74937275,138637883.84938425,142084549.11127946,145226944.4342935,148089451.96429494,150697378.6811692,153075950.93944293,155249576.28647938,157241336.36796612,159072669.58493316,160763202.6642693,162330694.13883474,163791058.1708554,165158443.01857024,166445344.0263478,167662735.93830958,168820213.44973907,169926132.21482077,170987745.09608078,172011330.37676904,173002310.0768644,173965357.52416858,174904494.0282545,175823174.96520248,176724365.8678944,177610609.27917892,178484083.20085716,179346651.98805174,180199910.51664218,181045222.4057639,181883753.01830706,182716497.89708582,183544307.2276654,184367906.8538866
limit_DE_Rest,16074872.270407788,17074707.594552506,18045367.57510354,18979693.334192246,19872006.756667417,20718163.674362812,21515513.183030844,22262782.064468823,22959906.832953144,23607835.92775845,24208321.960973952,24763719.802703746,25276801.646324307,25750595.795608163,26188252.20948237,26592935.02359593,26967740.343394082,27315636.457679566,27639423.089107554,27941706.205813248,28224885.11244214,28491148.895963665,28742479.73122275,28980660.99193217,29207288.527057786,29423783.830084465,29631408.14134234,29831276.78098071,30024373.21632186,30211562.52845865,30393604.066058815,30571163.166265827,30744821.88957587,30915088.763024,31082407.558460478,31247165.15381669,31409698.537992574,31570301.02664288,31729227.75846384,31886700.540937506,32042912.111872397,32198029.879232507,32352199.197204918,32505546.2315955,32658180.46273246,32810196.86926671,32961677.831705295,33112694.790264405,33263309.687712643,33413576.22431231,33563540.94874433,33713244.206013165,33862720.96075192,34012001.51205509,34161112.113943316
limit_DE_Total,122886905.94531739,138584276.75412148,155569299.48002025,173779454.90503812,193113716.157703,213432542.6273129,234560587.0529418,256292219.69028065,278399613.7133175,300642771.78484064,322780581.2414858,344581830.8388354,365835141.04410326,386356945.83409035,405996970.7626885,424641009.64150155,442211138.0840495,458663760.73310786,473986041.90677625,488191316.09238905,501314035.11368996,513404712.89813673,524525207.124185,534744554.40509266,544135468.4036943,552771526.4726189,560725011.7541851,568065341.7154785,574857996.365802,581163854.9275187,587038853.9510665,592533889.0865774,597694894.2220602,602563043.6290866,607175033.9935642,611563413.1523442,615756930.7688447,619780893.053467,623657509.087843,627406220.5289073,631044009.6511652,634585683.0287794,638044129.8388295,641430554.9334487,644754687.6058296,648024967.4630163,651248709.0955769,654432247.3613952,657581065.1237979,660699905.2376875,663792868.4863324,666863499.0544288,669914858.9928942,672949592.996484,675969984.6829218
limit_NL_Biomass,11206616.023497969,11894713.470533872,12470546.79197859,12955853.379365368,13371206.925736304,13734089.342496611,14058422.718197478,14354843.070735665,14631255.681237727,14893428.35999672,15145516.556567015,15390488.17452995,15630450.209297616,15866892.184848797,16100863.983732065,16333104.042981058,16564130.948496548,16794308.479994576,17023891.6072659,17253058.919924643,17481935.443889976,17710608.669851057,17939139.800555423,18167571.636448216,18395934.100803547,18624248.10894229,18852528.276674815,19080784.815525934,19309024.858502768,19537253.387254003,19765473.880306177,19993688.766181927,20221899.740062643,20450107.985042974,20678314.326693542,20906519.34101422,21134723.42981924,21362926.8733712,21591129.86712337,21819332.547364876,22047535.009116687,22275737.318618923,22503939.52204221,22732141.651564475,22960343.729608644,23188545.771798134,23416747.789017588,23644949.78884911,23873151.776573826,24101353.755869664,24329555.729297973,24557757.698642068,24785959.665143564,25014161.62966676,25242363.592813414
limit_NL_Offshore,6980004.236130819,8935146.641938418,11289260.50037905,14048905.949986907,17186950.053003285,20637763.012610056,24300269.327529598,28049891.30442858,31756829.005236503,35305239.916518636,38607617.79210311,41611129.44511707,44296111.29778291,46669358.35915766,48755447.92399818,50588588.72851089,52206283.58029729,53645095.59672725,54938237.062896,56114494.82304509,57198018.07862788,58208596.30624475,59162171.08869465,60071422.80442909,60946343.04859692,61794749.21423975,62622725.01260566,63434985.81425971,64235175.15088638,65026101.704725094,65809926.65997246,66588310.62645776,67362528.17507826,68133556.7279926,68902145.3144711,69668867.61749238,70434162.82045072,71198367.01237023,71961737.30563192,72724470.34015024,73486716.4701515,74248590.63445075,75010180.68150465,75771553.74263145,76532761.1093548,77293841.96488869,78054826.23824124,78815736.78674187,79576591.06468014,80337402.39881623,81098180.96321835,81858934.52418293,82619669.00938125,83380388.94264415,84141097.77606104
limit_NL_Onshore,2152682.0835120166,2597221.626850742,3120680.529643849,3732100.0842199232,4439706.005227051,5250149.620378548,6167646.181477571,7193095.038080771,8323306.046865655,9550481.9134687,10862101.996036768,12241308.833627034,13667815.67400104,15119249.007194685,16572744.63240638,18006560.431697443,19401472.321939234,20741778.87706251,22015832.52612142,23216110.46793397,24338910.90744998,25383797.50762578,26352918.408407226,27250305.939109,28081231.834773958,28851660.75379516,29567818.455144968,30235872.498118516,30861712.477783605,31450811.98509684,32008153.73584372,32538200.93243507,33044900.63488825,33531707.896895286,34001622.203974836,34457230.118240826,34900749.92867614,35334075.552355334,35758817.99475515,36176343.431050874,36587807.48640506,36994185.63293147,37396299.83359873,37794841.686908595,38190392.38915452,38583439.85409709,38974393.32762332,39363595.81755997,39751334.633174285,40137850.299557984,40523344.08196631,40907984.32603399,41291911.79263174,41675244.141449,42058079.69537918
limit_NL_PV,2882059.746409588,3505676.0010062084,4236454.067901049,5081767.144041544,6045374.098164158,7126157.150920302,8317125.895920855,9604958.48480311,10970304.69130388,12388941.374697851,13833674.414869586,15276686.054362986,16691908.105733717,18057007.449941922,19354694.28233544,20573250.426491044,21706353.01295402,22752385.303260412,23713465.22159604,24594398.19762277,25401703.230073866,26142796.770156283,26825365.26368331,27456920.608303204,28044512.74791977,28594566.116904043,29112807.025762316,29604253.514151588,30073245.0685107,30523495.38969755,30958156.37607668,31379885.429495938,31790911.131302666,32193094.425142355,32587983.86576922,32976864.419634823,33360799.87603569,33740669.257540986,34117197.786893144,34490983.032713905,34862516.85829085,35232203.763438724,35600376.15650982,35967307.033201665,36333220.47761149,36698300.342877835,37062697.415709354,37426535.321957074,37789915.38925949,38152920.64738686,38515619.116755664,38878066.51008563,39240308.450752035,39602382.29346523,39964318.61798254
