realtime,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
DE_target_Biomass,0.06594748082211356,0.0688436912425734,0.07148905150571166,0.07388108542494726,0.07602444200691896,0.0779293571957988,0.07961011067972007,0.08108360810442637,0.08236816676838049,0.08348253804597384,0.08444516650062574,0.08527366431198952,0.08598446848561621,0.08659264470801231,0.08711180302698784,0.08755409459898723,0.08793026396658257,0.08824973668182091,0.08852072698883601,0.08875035444992388,0.08894476177169042,0.08910922870506444,0.08924827885356579,0.08936577764519851,0.0894650207189265,0.08954881264793364,0.08961953635286356,0.08967921381598525,0.08972955884342342,0.08977202267602079,0.08980783324851953,0.08983802886196948,0.08986348697991316,0.08988494879477048,0.08990304014347288,0.08991828928495933,0.08993114198918256,0.089941974329188,0.08995110351527043,0.08995879706333448,0.08996528054822857,0.08997074415664727,0.0899753482227684
DE_target_Offshore,0.049772720021073115,0.057525116813869584,0.06601671571869902,0.07518177978683804,0.08491754166136319,0.09508625548051042,0.10552144341076475,0.1160380037524913,0.12644500514805343,0.1365593496840466,0.14621827148624317,0.15528892622790785,0.1636740150349525,0.17131323536790632,0.17818110244982127,0.18428216110734738,0.1896447604002237,0.1943144508119945,0.19834779758441398,0.2018070944415938,0.20475618713427488,0.20725741355233115,0.20936954244152622,0.2111465334812184,0.21263692840828108,0.21388369751006173,0.214924393762191,0.2157914985368285,0.2165128726092205,0.21711225153439975,0.21760974459268226,0.21802231167495828,0.21836420342379004,0.2186473575222545,0.2188817490427772,0.21907569592513007,0.21923612249738342,0.21936878490459913,0.21947846267422672,0.2195691206426467,0.2196440452449163,0.21970595883095576,0.21975711528231326
DE_target_Onshore,0.14434766310880504,0.15827019555852653,0.17246167236605164,0.18674765532816168,0.20094901524115405,0.2148908254933762,0.2284108186904443,0.2413665583966921,0.2536406962739778,0.26514398985922544,0.2758160769688823,0.2856242745477131,0.29456085092996726,0.30263929822173846,0.30989011806551514,0.31635655654804834,0.32209061358792085,0.32714953571829347,0.3315928973699375,0.33548029429459125,0.3388696161741353,0.34181583154312256,0.34437020235466415,0.34657984267834324,0.3484875414261378,0.3501317788994906,0.3515468786316363,0.35276324770056505,0.3538076693886997,0.3547036212766188,0.3554715994402762,0.35612943544217185,0.356692597442722,0.3571744702267544,0.35758661146245585,0.3579389832884734,0.35824015953325444,0.35849750965269284,0.35871736094235035,0.358905140828178,0.3590655011327002,0.35920242620277004,0.3593193267074181
DE_target_PV,0.07068911201877233,0.07959319972208906,0.08911737259703299,0.0991875329721101,0.10970546255794135,0.1205515736231772,0.13158970893760372,0.14267366070620358,0.15365478434441035,0.16438988342994348,0.17474849142332202,0.1846187879244958,0.19391163128032562,0.20256250085397867,0.2105314466370061,0.21780138020613035,0.2243751769059268,0.23027209292321324,0.23552395377087404,0.24017147432706243,0.2442609561467901,0.24784149901649719,0.25096277467415246,0.25367334656007734,0.25601947954554355,0.2580443635861608,0.25978766978522116,0.26128536129861196,0.26256969068590064,0.26366932667303394,0.2646095648547956,0.2654125874805584,0.2660977465852293,0.2666818521893134,0.26717945316795794,0.2676031028655984,0.2679636048409,0.2682702364972677,0.2685309499964764,0.26875255094482725,0.2689408560273647,0.2691008311600824,0.26923671192007986
DE_target_Rest,0.03711954634484026,0.03848729239217371,0.039749906195244794,0.04090676381918014,0.04195946562930331,0.04291141689875991,0.04376740390410097,0.04453319405827118,0.045215179122033454,0.04582007190168545,0.04635465984474109,0.04682561384344508,0.04723934725499919,0.04760191835675964,0.04791896880985077,0.04819569084888198,0.048436816544463024,0.04864662336398173,0.04882895121820526,0.04898722711893089,0.049124494423981396,0.0492434443807905,0.04934644829082735,0.04943558910951978,0.04951269168258156,0.04957935111512976,0.04963695899049597,0.04968672731593898,0.04972971018552308,0.049766823227191594,0.04979886095050472,0.04982651214079025,0.04985037346018549,0.04987096142054023,0.049888722890666565,0.04990404429338613,0.04991725963801446,0.049928657522608,0.04993848722837669,0.04994696401674551,0.04995427372803222,0.04996057676984777,0.0499660115732606
DE_target_Total,0.3607231833460952,0.39648497826413204,0.4333506364983932,0.4709243107713943,0.5087781543629535,0.5464714070843245,0.583570728048439,0.6196698098653498,0.6544064262121113,0.6874754735132339,0.7186371708641685,0.7477202468219638,0.7746205372041076,0.7992958511308453,0.8217581924633726,0.8420644599220098,0.8603066355533983,0.8766022666494536,0.8910858071707604,0.9039011547923732,0.9151955258950046,0.9251146649367202,0.9337992870914563,0.9413825974190208,0.9479887067169019,0.9537317638480919,0.9587156382002352,0.9630340073218007,0.966770728930704,0.9700004003027163,0.9727890297298808,0.9751947634384487,0.9772686268349738,0.979055251344375,0.9805935677481836,0.9819174542384316,0.9830563327950358,0.9840357113628916,0.984877671989913,0.9856013068736404,0.9862231053823598,0.9867572957491282,0.9872161454245102
NL_target_Biomass,0.11600014614296755,0.11721450329206443,0.11806632687685596,0.11866063365384771,0.11907371563071192,0.11936008357928163,0.11955824711947843,0.11969520186655362,0.11978977178167197,0.11985503496466979,0.11990005476928298,0.11993110142714193,0.11995250767335555,0.11996726498207358,0.11997743760915695,0.11998444943369317,0.11998928235388927,0.11999261335581317,0.11999490913946771,0.11999649140987567,0.11999758191093012,0.11999833347925318,0.11999885145422155,0.11999920843731594,0.11999945446588617,0.1199996240256322,0.11999974088391621,0.1199998214210055,0.11999987692600876,0.119999915179245,0.11999994154280938,0.1199999597121848,0.11999997223424595,0.1199999808642621,0.11999998681193903,0.1199999909109881,0.11999999373599071,0.11999999568293974,0.11999999702474752,0.1199999979495011,0.11999999858682725,0.11999999902606277,0.11999999932877724
NL_target_Offshore,0.14910312352304575,0.17613436757669204,0.20408004504701682,0.23186724227522132,0.25844696509211634,0.28294602729221324,0.3047673607858046,0.32361887955387736,0.33947973296511985,0.35253013083789664,0.36307249612783177,0.3714630819646487,0.37806237171358426,0.3832045484997144,0.3871822648798733,0.3902419158157201,0.3925852010692585,0.3943738874683509,0.3957357723507878,0.39677069202078175,0.3975559899307423,0.39815121019123323,0.3986019787989761,0.3989431335523246,0.3992012042095796,0.3993963533026723,0.3995438811439158,0.39965538512417725,0.39973964831897374,0.39980331811446956,0.39985142305517807,0.3998877656737216,0.39991522060190654,0.39993596054017083,0.3999516273944104,0.39996346180068676,0.39997240110743815,0.39997915346897495,0.39998425385874303,0.3999881064052984,0.3999910163855853,0.39999321439931984,0.39999487463368766
NL_target_Onshore,0.038516085219419266,0.04480775278325258,0.05179751275941783,0.0594598778227723,0.06773765689863369,0.07654022242963894,0.08574510283811049,0.09520334347656678,0.10474839165980217,0.11420750184004205,0.12341405971198548,0.13221899645070248,0.14049968964916001,0.14816534337857645,0.15515859911778418,0.16145381786588284,0.16705292514284326,0.17197987130842124,0.17627467566079863,0.17998779187299546,0.18317525485731745,0.185894817783375,0.18820309947574532,0.19015364416423372,0.1917957374002898,0.19317380691672148,0.19432724850077324,0.19529054127607273,0.19609354512636382,0.19676190005381033,0.19731747048503692,0.197778796103598,0.19816152486227814,0.19847881403480744,0.19874169226850438,0.19895938033371108,0.19913957126575593,0.1992886723679897,0.19941201247776785,0.1995140182763473,0.19959836345215876,0.19966809434616706,0.19972573541351327
NL_target_PV,0.052445847466932156,0.060818664419324035,0.06984940803015348,0.07939692927393517,0.0892797562733918,0.09928842723107452,0.1092026051462899,0.11881013781973743,0.1279246493742764,0.13639868690459092,0.144130706702414,0.15106574825535443,0.1571909497964492,0.16252776587389203,0.1671228212535525,0.17103896419706152,0.1743475229573795,0.17712223014791198,0.17943487275510558,0.18135247813229585,0.18293573444980046,0.18423832524778774,0.18530689117290372,0.18618138731826056,0.18689566297031593,0.1874781423012827,0.18795252599910917,0.18833846479196822,0.18865217769644543,0.18890700250580558,0.18911387539177707,0.18928174208449497,0.18941790613584375,0.189528321154309,0.18961783425338424,0.1896903877078757,0.18974918524387824,0.1897968286768801,0.1898354298666986,0.18986670223992003,0.18989203547270136,0.18991255634320062,0.1899291782564988
NL_target_Rest,0.021349965540052068,0.026422012955446023,0.03204074200803636,0.03800672540517801,0.04406295761379523,0.049936644943598944,0.055386577219407575,0.0602394893194339,0.06440498593403766,0.06786922447850978,0.07067534039517012,0.0729002434779657,0.07463457718279418,0.07596867488132263,0.07698445568230386,0.07775186249175803,0.07832821773494808,0.07875917080700942,0.07908033686802143,0.07931909361411407,0.0794962607811707,0.07962754672538956,0.07972473503163792,0.07979662770185483,0.07984977909439463,0.07988905867225567,0.07991807801166624,0.07993951240082922,0.07995534174650186,0.07996703032869011,0.07997566054309527,0.07998203220099476,0.07998673614332366,0.07999020875149343,0.07999277227883363,0.07999466467275396,0.0799960616161233,0.07999709281250712,0.07999785401554105,0.07999841591303088,0.0799988306872865,0.07999913685902833,0.07999936286368754
NL_target_Total,0.3352103516007741,0.37511368658847843,0.4167438914236052,0.4595413266887591,0.50287833848976915,0.5460948818608107,0.5885381956720297,0.6296015577774063,0.6687573439446143,0.7055807905646903,0.7397626599135557,0.7711109204408538,0.7995431203837017,0.8250720750381924,0.8477877588647039,0.8678380246649361,0.8854101801063002,0.9007147514184342,0.9139721140605619,0.9254021580332971,0.9352168074642733,0.9436150161013329,0.9507797790431463,0.9568766990072238,0.9620536898817461,0.9664414664896199,0.9701545408962811,0.9732925125159365,0.9759414969589009,0.9781755854787096,0.9800582633570833,0.9816437428748269,0.9829781862622898,0.984100807805546,0.9850448535322341,0.9858384628043287,0.9865054196506637,0.9870658035068511,0.9875365497369609,0.9879319302851879,0.988263964327897,0.9885427680624703,0.9887768519117228
