realtime,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
timestep,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
PV_Inv,12361772.12,11897900.85,11451436.2,11021724.97,10608138.52,10210071.75,9826942.306,9458189.661,9103274.332,8761677.08,8432898.148,8116456.532,7811889.28,7518750.809,7236612.26,6965060.862,6703699.338,6452145.316,6210030.772,5977001.494,5752716.56,5536847.84,5329079.521,5129107.637,4936639.629,4751393.917,4573099.487,4401495.495,4236330.883,4077364.018,3924362.329,3777101.976,3635367.518,3498951.597,3367654.636,3241284.549,3119656.456,3002592.416,2889921.163,2781477.861,2677103.857,2576646.451,2479958.675,2386899.075,2297331.505,2211124.927,3232190.1,2581273.6,2042606.7,1750937.3,1395897.0,1116407.4,1013534.5,971936.3,971012.4,784052.3,754258.3,725596.5,698023.8,671498.9,645982.0,621434.7,597820.1,575103.0,553249.1,532225.6,512001.0,497153.0,482735.6,468736.2,455142.9,441943.7,429127.4,416682.7,404598.9,392865.5,381472.4,370409.7,359667.8,349237.5,339109.6,329275.4,319726.4,310454.3,301451.2,292709.1,284220.5,275978.1,267974.8,260203.5,252657.6,245330.5,238215.9,231307.7,224599.8,218086.4,211761.9,205620.8,199657.8,193867.7,188245.5,182786.4,177485.6,172338.5,167340.7,162487.8,157775.7
PV_OM,30397.464,30143.216,29891.095,29641.083,29393.161,29147.314,28903.523,28661.77,28422.04,28184.315,27948.578,27714.814,27483.004,27253.133,27025.185,26799.143,26574.992,26352.716,26132.299,25913.726,25696.981,25482.048,25268.914,25057.562,24847.978,24640.146,24434.054,24229.684,24027.025,23826.06,23626.776,23429.159,23233.195,23038.87,22846.171,22655.083,22465.593,22277.689,22091.356,21906.581,21723.352,21541.656,21361.479,21182.809,21005.634,20829.941,20655.717,20482.95,20311.628,20141.74,19973.272,19806.213,19640.552,19476.276,19313.375,19151.836,18991.648,18935.396,18879.311,18823.391,18767.638,18712.05,18656.626,18601.367,18546.271,18491.338,18436.568,18381.961,18327.515,18273.23,18219.106,18165.143,18111.339,18057.694,18004.209,17950.882,17897.713,17844.701,17791.846,17739.148,17686.606,17634.22,17581.989,17529.912,17477.99,17426.222,17374.606,17323.144,17271.834,17220.677,17169.67,17118.815,17068.11,17017.556,16967.151,16916.896,16866.789,16816.831,16767.021,16717.359,16667.843,16618.474,16569.252,16520.175,16471.243,16422.457,16373.815
PV_Eff,0.338,0.346,0.354,0.362,0.371,0.379,0.388,0.397,0.407,0.416,0.426,0.436,0.446,0.456,0.467,0.478,0.489,0.501,0.512,0.524,0.536,0.549,0.562,0.575,0.588,0.602,0.616,0.63,0.645,0.66,0.676,0.691,0.707,0.724,0.741,0.758,0.776,0.794,0.813,0.831,0.851,0.871,0.891,0.912,0.933,0.955,0.977,1,1.023,1.047,1.072,1.097,1.122,1.148,1.175,1.203,1.231,1.236,1.241,1.246,1.251,1.256,1.261,1.266,1.271,1.276,1.282,1.287,1.292,1.297,1.302,1.308,1.313,1.318,1.324,1.329,1.334,1.34,1.345,1.351,1.356,1.362,1.367,1.373,1.378,1.384,1.389,1.395,1.401,1.406,1.412,1.418,1.424,1.429,1.435,1.441,1.447,1.453,1.458,1.464,1.47,1.476,1.482,1.488,1.494,1.5,1.506
Wind_Inv,1466960.903,1461080.67,1455224.006,1449390.819,1443581.014,1437794.497,1432031.175,1426290.955,1420573.745,1414879.451,1409207.983,1403559.249,1397933.157,1392329.617,1386748.539,1381189.832,1375653.407,1370139.174,1364647.045,1359176.93,1353728.743,1348302.394,1342897.796,1337514.863,1332153.506,1326813.641,1321495.18,1316198.037,1310922.128,1305667.367,1300433.67,1295220.952,1290029.128,1284858.116,1279707.831,1274578.191,1269469.113,1264380.514,1259312.313,1254264.427,1249236.776,1244229.277,1239241.851,1234274.417,1229326.894,1224399.203,1981243.1,1981243.1,1799781.8,1777971.6,1754416.5,1721264.9,1688985.8,1688113.4,1661068.6,1537186.4,1469550.2,1404890.0,1343074.8,1283979.6,1227484.5,1173475.1,1121842.2,1072481.2,1025292.0,980179.2,937051.3,924869.6,912846.3,900979.3,889266.6,877706.1,866295.9,855034.1,843918.6,832947.7,822119.4,811431.8,800883.2,790471.7,780195.6,770053.0,760042.4,750161.8,740409.7,730784.4,721284.2,711907.5,702652.7,693518.2,684502.5,675603.9,666821.1,658152.4,649596.4,641151.7,632816.7,624590.1,616470.4,608456.3,600546.4,592739.3,585033.7,577428.2,569921.7,562512.7,555200.0
Wind_OM,20976.559,20913.751,20851.131,20788.699,20726.454,20664.395,20602.521,20540.834,20479.33,20418.011,20356.876,20295.924,20235.154,20174.566,20114.159,20053.934,19993.888,19934.023,19874.336,19814.829,19755.5,19696.348,19637.373,19578.575,19519.953,19461.507,19403.235,19345.138,19287.215,19229.466,19171.889,19114.485,19057.252,19000.191,18943.301,18886.581,18830.031,18773.65,18717.438,18661.395,18605.519,18549.81,18494.269,18438.893,18383.684,18328.64,18273.76,18219.045,18164.494,18140.625,18116.787,18092.981,18069.206,18045.462,18021.749,17998.068,17733.923,17999.224,17975.572,17951.951,17928.362,17904.803,17881.275,17857.778,17834.312,17810.877,17787.473,17764.1,17740.757,17717.444,17694.163,17653.069,17647.692,17624.502,17601.342,17578.213,17555.115,17532.047,17509.009,17486.001,17463.024,17440.076,17417.159,17394.272,17371.416,17348.589,17325.792,17303.025,17280.288,17257.581,17234.904,17212.256,17189.638,17167.051,17144.492,17121.964,17099.465,17076.995,17054.555,17032.145,17009.764,16987.412,16965.09,16942.797,16920.533,16898.299,16876.094
Wind_Eff,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WindOffshore_Inv,22358909.18,21648450.26,20960566.32,20294540.02,19649676.85,19025304.34,18420771.4,17835447.61,17268722.6,16720005.4,16188723.8,15674323.78,15176268.93,14694039.88,14227133.75,13775063.65,13337358.18,12913560.89,12503229.85,12105937.15,11721268.52,11348822.81,10988211.64,10639058.96,10301000.68,9973684.272,9656768.408,9349922.612,9052826.904,8765171.474,8486656.352,8216991.108,7955894.53,7703094.35,7458326.948,7221337.08,6991877.614,6769709.268,6554600.368,6346326.598,6144670.77,5949422.596,5760378.472,5577341.266,5400120.104,5228530.18,4056706.5,4646455.7,4136095.8,5005888.6,4575790.5,4588876.6,3733914.8,4085496.0,3703380.5,3315158.0,3185866.8,3061618.0,2942214.9,2827468.5,2717197.3,2611226.6,2509388.7,2411522.6,2317473.2,2227091.7,2140235.2,2124183.4,2108252.0,2092440.1,2076746.8,2061171.2,2045712.5,2030369.6,2015141.8,2000028.3,1985028.1,1970140.4,1955364.3,1940699.1,1926143.8,1911697.7,1897360.0,1883129.8,1869006.3,1854988.8,1841076.4,1827268.3,1813563.8,1799962.1,1786462.3,1773063.9,1759765.9,1746567.7,1733468.4,1720467.4,1707563.9,1694757.1,1682046.5,1669431.1,1656910.4,1644483.6,1632149.9,1619908.8,1607759.5,1595701.3,1583733.5
WindOffshore_OM,219763.156,214702.543,209758.465,204928.236,200209.236,195598.903,191094.735,186694.286,182395.17,178195.051,174091.652,170082.743,166166.15,162339.747,158601.456,154949.25,151381.144,147895.204,144489.536,141162.292,137911.667,134735.896,131633.255,128602.061,125640.667,122747.467,119920.891,117159.404,114461.507,111825.736,109250.661,106734.883,104277.037,101875.79,99529.838,97237.907,94998.754,92811.163,90673.947,88585.946,86546.027,84553.082,82606.029,80703.813,78845.4,77029.782,75255.972,73523.01,71829.953,70175.884,68559.903,66981.135,65438.722,63931.827,62459.632,61021.338,59616.165,59064.341,58517.625,57975.97,57439.328,56907.654,56380.901,55859.024,55341.977,54829.717,54322.198,53819.376,53321.209,52827.654,52338.666,51854.205,51374.228,50898.694,50427.562,49960.79,49498.339,49040.169,48586.24,48136.512,47690.947,47249.507,46812.152,46378.846,45949.55,45524.229,45102.844,44685.359,44271.739,43861.948,43455.95,43053.709,42655.192,42260.364,41869.19,41481.638,41097.672,40717.261,40340.37,39966.969,39597.023,39230.502,38867.374,38507.607,38151.17,37798.032,37448.163
WindOffshore_Eff,0.748,0.753,0.757,0.762,0.767,0.772,0.776,0.781,0.786,0.791,0.796,0.801,0.806,0.811,0.816,0.821,0.826,0.831,0.836,0.841,0.846,0.852,0.857,0.862,0.868,0.873,0.878,0.884,0.889,0.895,0.9,0.906,0.912,0.917,0.923,0.929,0.934,0.94,0.946,0.952,0.958,0.964,0.97,0.976,0.982,0.988,0.994,1,1.006,1.012,1.019,1.025,1.031,1.038,1.044,1.051,1.057,1.063,1.068,1.074,1.079,1.085,1.091,1.096,1.102,1.108,1.114,1.119,1.125,1.131,1.137,1.143,1.149,1.155,1.161,1.167,1.173,1.179,1.185,1.191,1.198,1.204,1.21,1.216,1.223,1.229,1.236,1.242,1.248,1.255,1.261,1.268,1.275,1.281,1.288,1.295,1.301,1.308,1.315,1.322,1.329,1.336,1.343,1.35,1.357,1.364,1.371
