timestep,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
limit_DE_Biomass,30069060.11176489,32378913.63037963,34625493.12840829,36784252.145303704,38835594.85179001,40765308.54482941,42564527.94666631,44229320.1645025,45760008.79086029,47160359.00823386,48436729.63552541,49597271.73328703,50651224.63702162,51608334.60952523,52478401.484486565,53270945.34285794,53994977.70120867,54658858.56801625,55270220.61804584,55835943.418236025,56362163.18415192,56854306.329147495,57317137.71384916,57754816.819513746,58170956.98484744,58568684.36434528,58950694.42769417,59319304.680541135,59676502.905568965,60023990.653245054,60363221.9998744,60695437.77423624,61021695.562621705,61342895.858056575,61659804.73974867,61973073.46563687,62283255.343169294,62590820.2172975,62896166.88437345,63199633.7090293,63501507.690011255,63802032.19144754,64101413.52877997,64399826.57385588,64697419.52154999,64994317.9406838,65290628.214793526,65586440.46327632,65881831.020396024,66176864.53835825,66471595.770946294,66766071.08586323,67060329.746774584,67354404.99992141,67648324.99495162
limit_DE_Offshore,15166661.771575686,18014362.593355034,21301082.751791235,25059084.17054298,29310493.21844321,34063094.143687725,39306303.30059961,45007988.033786476,51112870.418287,57543166.10032639,64201815.342276804,70978198.15921974,77755698.72755754,84420056.90665905,90867263.02287373,97009879.52355272,102781059.73938695,108136042.43614532,113051371.91704363,117522411.34704311,121559841.29376681,125185793.47694486,128430124.96743648,131327157.44734196,133913039.02463536,136223758.33477688,138293758.46213794,140155055.79260662,141836755.5723773,143364860.8016656,144762285.34339008,146048999.69937775,147242255.15031496,148356847.02624336,149405390.10579637,150398588.5458347,151345489.66135415,152253715.76847154,153129671.63032654,153978727.21022558,154805376.76670936,155613376.0757342,156405859.92536625,157185442.13530585,157954300.3036904,158714247.34311154,159466791.6808599,160213187.79371044,160954478.5428704,161691530.58054915,162425063.92151427,163155676.61343464,163883865.2992319,164610042.34232607,165334550.08024848
limit_DE_Onshore,54270674.05705542,61213409.19141752,68682074.56126735,76632914.11943223,85004420.06901464,93718585.37712902,102683551.09687139,111797516.1026855,120953583.62660596,130045067.0006258,138970703.2973185,147639246.2544538,155973021.95871636,163910202.8836724,171405746.74504074,178431116.34508914,184973017.31036752,191031451.39410546,196617388.20314643,201750322.15579712,206455922.04778594,210763914.07519898,214706277.38838997,218315780.9749716,221624854.27232313,224664760.75836083,227465031.5926168,230053112.34009334,232454177.18963268,234691069.62583548,236784334.55236593,238752313.25935882,240611278.6850099,242375593.7745975,244057880.244816,245669188.71120098,247219164.00271896,248716201.67704803,250167593.37913343,251579659.8656799,252957871.34792724,254306955.36769164,255630992.78503713,256933502.67375445,258217517.0347457,259485646.27897406,260740136.4244716,261982918.91330552,263215653.89679888,264439767.76957634,265656485.66116357,266866859.5220354,268071792.37181708,269272059.2123303,270468325.04828906
limit_DE_PV,24140090.90081149,27840692.868008163,31980879.000784326,36575196.44346233,41627878.43555203,47130554.53852078,53060417.17642347,59379164.86902693,66033012.52247154,72953963.63648006,80062382.78289258,87270713.33721374,94487995.83299099,101624702.71089858,108597352.24340516,115332411.71398468,121769133.32595275,127861149.43936838,133576841.46497025,138898649.99807647,143821589.57297057,148351265.42431003,152501672.2343227,156293004.02240738,159749638.87772286,162898397.16072443,165767116.54928613,168383546.03338724,170774533.91512734,172965470.00476274,174979936.54342648,176839522.93069622,178563763.55271825,180170163.98794097,181674287.32042727,183089878.4289826,184429009.53214052,185702234.79471302,186918745.43630287,188086519.60568887,189212463.41444594,190302541.08455086,191361893.27658546,192394943.43107998,193405492.46172273,194396802.45468387,195371670.20709682,196332491.52094287,197281317.18685693,198219901.5683064,199149744.6463403,200072128.32013777,200988147.6867944,201898737.95043194,202804697.5392753
limit_DE_Rest,17682359.49744857,18782178.35400776,19849904.332613897,20877662.667611472,21859207.43233416,22789980.0417991,23667064.50133393,24489060.27091571,25255897.51624846,25968619.520534296,26629154.15707135,27240091.782974124,27804481.81095674,28325655.375168983,28807077.43043061,29252228.525955524,29664514.37773349,30047200.103447527,30403365.39801831,30735876.826394573,31047373.623686355,31340263.785560034,31616727.704345025,31878727.091125388,32128017.379763562,32366162.213092912,32594548.955476575,32814404.45907878,33026810.537954047,33232718.78130452,33432964.4726647,33628279.48289241,33819304.078533456,34006597.6393264,34190648.31430653,34371881.66919836,34550668.391791835,34727331.12930717,34902150.53431023,35075370.59503126,35247203.32305963,35417832.86715576,35587419.11692541,35756100.85475505,35923998.5090057,36091216.55619339,36257845.61487582,36423964.26929085,36589640.65648391,36754933.84674354,36919895.04361876,37084568.62661448,37248993.05682712,37413201.66326061,37577223.325337656
limit_DE_Total,135175596.53984913,152442704.42953366,171126229.4280223,191157400.39554194,212425087.77347332,234775796.8900442,258016645.758236,281921441.65930873,306239575.08464926,330707048.9633247,355058639.3656344,379040013.92271894,402418655.1485136,424992640.4174994,446596667.8389574,467105110.60565174,486432251.8924545,504530136.80641866,521384646.09745395,537010447.701628,551445438.625059,564745184.1879505,576977727.8366035,588219009.845602,598549015.2440637,608048679.1198808,616797512.9296036,624871875.8870264,632343796.0023823,639280240.4202706,645742739.3461732,651787277.9952353,657464383.6442662,662819347.9919953,667892537.3929207,672719754.4675786,677332623.8457292,681758982.3588138,686023259.9966273,690146842.5817981,694148410.6162819,698044251.3316574,701848542.8227127,705573610.4267936,709230156.3664126,712827464.209318,716373580.0051347,719875472.0975348,723339171.6361778,726769895.7614564,730172155.3349657,733549848.9598719,736906344.8921837,740244552.2961324,743566983.151214
limit_NL_Biomass,12327277.625847766,13084184.81758726,13717601.471176451,14251438.717301905,14708327.618309936,15107498.276746273,15464264.990017228,15790327.377809232,16094381.2493615,16382771.19599639,16660068.212223716,16929536.991982944,17193495.230227377,17453581.403333675,17710950.382105272,17966414.447279166,18220544.043346204,18473739.327994037,18726280.767992496,18978364.81191711,19230128.988278978,19481669.536836166,19733053.780610967,19984328.80009304,20235527.510883905,20486672.919836517,20737781.104342297,20988863.29707853,21239927.344353046,21490978.725979406,21742021.2683368,21993057.642800122,22244089.71406891,22495118.783547275,22746145.759362895,22997171.275115643,23248195.77280117,23499219.560708318,23750242.853835706,24001265.802101366,24252288.51002836,24503311.050480817,24754333.474246435,25005355.816720925,25256378.102569513,25507400.34897795,25758422.56791935,26009444.767734025,26260466.95423121,26511489.131456632,26762511.302227773,27013533.468506277,27264555.631657925,27515577.792633437,27766599.952094756
limit_NL_Offshore,7678004.659743901,9828661.30613226,12418186.550416958,15453796.544985598,18905645.058303617,22701539.313871063,26730296.26028256,30854880.43487144,34932511.90576016,38835763.90817051,42468379.571313426,45772242.38962878,48725722.42756121,51336294.19507343,53630992.716398,55647447.601361975,57426911.93832702,59009605.15639999,60432060.7691856,61725944.30534961,62917819.886490665,64029455.93686923,65078388.197564125,66078565.08487201,67040977.35345661,67974224.13566372,68884997.51386623,69778484.39568569,70658692.66597502,71528711.87519762,72390919.32596973,73247141.68910354,74098780.99258609,74946912.40079185,75792359.84591821,76635754.37924163,77477579.10249579,78318203.71360727,79157911.03619511,79996917.37416527,80835388.11716664,81673449.69789584,82511198.74965513,83348709.11689462,84186037.22029027,85023226.16137756,85860308.86206537,86697310.46541606,87534250.17114817,88371142.63869785,89207999.05954018,90044827.97660123,90881635.91031939,91718427.83690858,92555207.55366716
limit_NL_Onshore,2367950.291863218,2856943.7895358163,3432748.582608234,4105310.0926419157,4883676.605749756,5775164.582416403,6784410.799625329,7912404.54188885,9155636.65155222,10505530.10481557,11948312.195640445,13465439.716989739,15034597.241401143,16631173.907914152,18230019.09564702,19807216.47486719,21341619.554133162,22815956.764768764,24217415.77873356,25537721.514727373,26772801.998194978,27922177.258388363,28988210.249247953,29975336.533019904,30889355.01825136,31736826.829174682,32524600.300659467,33259459.74793037,33947883.72556196,34595893.18360653,35208969.10942809,35792021.02567858,36349390.69837708,36884878.686584815,37401784.424372315,37902953.130064905,38390824.92154376,38867483.10759087,39334699.79423066,39793977.77415596,40246588.235045575,40693604.19622462,41135929.816958606,41574325.85559946,42009431.62806998,42441783.839506805,42871832.66038566,43299955.399315976,43726468.096491724,44151635.32951379,44575678.490162954,44998782.75863739,45421102.97189492,45842768.55559391,46263887.664917104
limit_NL_PV,3170265.721050547,3856243.6011068295,4660099.4746911535,5589943.858445699,6649911.507980575,7838772.866012332,9148838.485512942,10565454.33328342,12067335.16043427,13627835.512167638,15217041.856356546,16804354.65979929,18361098.916307088,19862708.194936115,21290163.710568987,22630575.46914015,23876988.314249422,25027623.833586454,26084811.743755642,27053838.01738505,27941873.553081255,28757076.447171915,29507901.790051647,30202612.669133525,30848964.02271175,31454022.728594452,32024087.72833855,32564678.86556675,33080569.57536177,33575844.92866731,34053972.013684355,34517873.97244553,34970002.24443293,35412403.867656596,35846782.25234614,36274550.861598305,36696879.863639265,37114736.183295086,37528917.56558246,37940081.335985295,38348768.54411994,38755424.13978261,39160413.7721608,39564037.73652183,39966542.52537265,40368130.37716562,40768967.15728029,41169188.854152784,41568906.92818543,41968212.71212555,42367181.02843123,42765873.161094196,43164339.29582724,43562620.52281175,43960750.47978079
