Name,Technology,Location,Age,Owner,Capacity,Efficiency
Werkskraftwerk Sappi Alfeld,Biomass CHP,deNode,12,Energy Producer DE B,101.20855283545089,0.38
HKW Altenstadt,Biomass CHP,deNode,16,Energy Producer DE A,76.29567829133991,0.38
Zellstoff Stendal GmbH,Biomass CHP,deNode,11,Energy Producer DE C,1081.3744606803177,0.38
Blockheizkraftwerk 1,Biomass CHP,deNode,10,Energy Producer DE C,8.563800624538153,0.38
Blockheizkraftwerk 2,Biomass CHP,deNode,5,Energy Producer DE C,6.228218636027748,0.38
UTB,Biomass CHP,deNode,13,Energy Producer DE A,124.56437272055494,0.38
BHW Beeskow,Biomass CHP,deNode,14,Energy Producer DE C,142.47050129913472,0.38
BMKW Bergkamen,Biomass CHP,deNode,10,Energy Producer DE B,137.7993373221139,0.38
HHKW Berlin-Neukölln,Biomass CHP,deNode,11,Energy Producer DE C,128.45700936807228,0.38
ENERTRAG Netz GmbH  (UW Bertikow),Biomass CHP,deNode,9,Energy Producer DE C,155.70546590069367,0.38
Biomassekraftwerk Bischofferode,Biomass CHP,deNode,10,Energy Producer DE B,140.9134466401278,0.38
Egger Kraftwerk Brilon,Biomass CHP,deNode,24,Energy Producer DE C,140.1349193106243,0.38
Werkskraftwerk Sappi Ehingen,Biomass CHP,deNode,25,Energy Producer DE C,102.76560749445783,0.38
Werkskraftwerk Sappi Ehingen,Biomass CHP,deNode,54,Energy Producer DE B,62.28218636027747,0.38
Emden Biomasse,Biomass CHP,deNode,10,Energy Producer DE C,171.27601249076304,0.38
Biomasse-HKW,Biomass CHP,deNode,2,Energy Producer DE B,82.52389692736764,0.38
BMKW Flörsheim Wicker,Biomass CHP,deNode,12,Energy Producer DE A,98.09444351743701,0.38
BKF,Biomass CHP,deNode,11,Energy Producer DE A,96.53738885843008,0.38
KWK Gütersloh,Biomass CHP,deNode,15,Energy Producer DE B,94.20180686991968,0.38
Biomasse-Verstromungs-Anlage,Biomass CHP,deNode,11,Energy Producer DE C,155.70546590069367,0.38
Müllverwertung Borsigstraße MVB,Biomass CHP,deNode,10,Energy Producer DE A,155.70546590069367,0.38
Enertec Hameln,Biomass CHP,deNode,13,Energy Producer DE B,112.88646277800292,0.38
Energieanlage 3,Biomass CHP,deNode,13,Energy Producer DE B,144.80608328764512,0.38
Bio HKW Herbrechtingen,Biomass CHP,deNode,11,Energy Producer DE B,108.99382613048557,0.38
Stora Enso Maxau,Biomass CHP,deNode,5,Energy Producer DE C,607.2513170127054,0.38
BMKW Königs Wusterhausen,Biomass CHP,deNode,12,Energy Producer DE C,133.1281733450931,0.38
BMHKW-BinderHolz,Biomass CHP,deNode,8,Energy Producer DE C,117.55762675502372,0.38
BioEnergie Park Klarsee,Biomass CHP,deNode,9,Energy Producer DE A,138.57786465161738,0.38
Landesbergen Biomasse,Biomass CHP,deNode,10,Energy Producer DE B,171.27601249076304,0.38
BMK Lünen,Biomass CHP,deNode,9,Energy Producer DE A,155.70546590069367,0.38
Biomasse-Heizkraftwerk Malchin,Biomass CHP,deNode,12,Energy Producer DE C,76.29567829133991,0.38
BMKW Mannheim,Biomass CHP,deNode,12,Energy Producer DE A,139.35639198112082,0.38
